Team,Conf,Div,SP+,HFACW,TAN 25,TAN 26,Coach,SOW,TARP,TEAM_MEAD,TEAM_NAME2,TEAM_ID,Team Total,HC,OC,DC,TAN_Rank
Arkansas State,SUN,W,-8.5,2.9,60.5,51,,-1.4,1,AKST,Arkansas State,524,25.9,Butch Jones,Garrett Altman,Griff McCarley,100
Miami Ohio,MAC,,-2.9,3.2,62,50.5,,0.7,-2.5,MIAO,Miami (Ohio),287,21.2,Chuck Martin,Gus Ragland,Bill Brechin,102
Jacksonville State,CUS,,-7.7,3.3,58.5,50.5,,-1.1,2.5,JAXS,Jacksonville State,997,27.1,Charles Kelly,Taylor Housewright,Brian Williams,102
Hawai'i,MW,,-3.9,2.5,64,50.5,,-1.2,-3,HAW,Hawaii,273,26,Timmy Chang,Timmy Chang,Dennis Thurman,102
Central Michigan,MAC,,-12.4,2.3,60,50.5,,-0.2,0,CMCH,Central Michigan,523,20.1,Matt Drinkall,Jim Chapin,Sean Cronin,102
Boston College,ACC,,-1.5,2.7,63,50,,2,-5,BCOL,Boston College,285,25.5,Bill OBrien,Bill OBrien,Ted Roof,106
Coastal Carolina,SUN,E,-13.8,2.5,57.5,49.5,1,0.3,0,CSTC,Coastal Carolina,401,22.2,Ryan Beard,Nick Petrino,LD Scott,107
Troy,SUN,W,-6,2.9,63.5,49,,-1.5,-4,TROY,Troy,318,20.5,Gerad Parker,Adam Austin,Dontae Wright,108
Western Kentucky,CUS,,-5.3,3,63,48.5,,-0.4,-5.5,WKY,Western Kentucky,290,29,Tyson Helton,Bodie Reeder,Davis Merritt,109
Kennesaw State,CUS,,-9.3,2.7,63.5,48,,-2.3,-4.5,KENST,Kennesaw State,996,26.9,Jerry Mack,Mitch Militello,Marc Matioli,110
Rice,AAC,,-14.7,2.3,55.5,48,,-0.8,2,RICE,Rice,1276,18.3,Scott Abell,Vince Munch,Jon Kay,110
Kent State,MAC,,-20.1,1.8,51.5,47.5,,0.1,7,KEST,Kent State,260,17.7,Mark Carney,Clay Patterson,Cherokee Valeria,112
UConn,IND,,-11.2,2.3,69.5,47,-1.5,-0.7,-11,CON,Connecticut,551,30.4,Jason Candle,Nunzio Campanile,Ryan Manaiac,113
Wyoming,MW,,-9.6,2.7,58,46.5,,1,-3,WYO,Wyoming,518,21,Jay Sawvel,Christian Taylor,Aaron Bohl,114
Northern Illinois,MAC,,-18.2,2,52.5,46,,0.6,3.5,NIL,Northern Illinois,527,17.8,Rob Harley,Tony Petersen/Quinn Sanders,DJ Bland,115
Colorado State,P12,,-8.3,2,54,46,1.5,0.8,-0.5,COST,Colorado State,376,21.3,Jim Mora,Pryce Tracy,Tyson Summers,115
ULM,SUN,W,-24.3,1.6,53.5,45.5,,1.1,2.5,LMON,ULM,312,19.3,Bryant Vincent,Jesse Montalto,Troy Reffett,117
Nevada,MW,,-12.2,2.4,56.5,44,,0.4,-3.5,NEV,Nevada,515,17.2,Jeff Choate,Brett Bartolone,Kane Ioane,118
Georgia Southern,SUN,E,-8.9,2.6,58.5,44,,-1,-4.5,GSOU,Georgia Southern,289,26.8,Clay Helton,Ryan Aplin,Mike Mutz,118
Appalachian State,SUN,E,-12.1,2.1,58,44,,-1,-4,APP,Appalachian State,337,25.8,Dowell Loggains,Mike Anthony,DJ Smith,118
San Jose State,MW,,-15.5,2.4,61,43.5,,1.9,-9,SJST,San Jose State,325,26.2,Ken Niumatalolo,Craig Stutzmann,Bojay Filimoeatu,121
Southern Miss,SUN,W,-23.3,1.9,62.5,43.5,-1.5,-0.6,-7,SMIS,Southern Miss,272,27.9,Blake Anderson,Kyle Cefalo,Joe Bolden,121
UAB,AAC,,-18.1,2.5,56,43.5,,-0.4,-2.5,UAB,UAB,307,25.3,Alex Mortensen,,Todd Grantham,121
Georgia State,SUN,E,-25.1,1.8,51.5,43,,1.3,1.5,GAST,Georgia State,520,24.1,Dell McGee,Hue Jackson,Cam Clark/John Haneline,124
Akron,MAC,,-19.5,1.8,52.5,42.5,,0.2,-0.5,AKRON,Akron,561,23.2,Joe Moorhead,Joe Moorhead,Tim Tibesar,125
Delaware,CUS,,-13,2.5,53.5,42,,-0.7,-1,DEL,Delaware,995,27.5,Ryan Carty,Terence Archer,Manny Rojas,126
Missouri State,CUS,,-18.7,2.5,57,42,-2,0.1,-4,MZST,Missouri State,994,24.5,Casey Woods,Mark Cala,Jack Curtis,126
Middle Tennessee,CUS,,-26,2,54.5,41,,1.1,-4,MTEN,Middle Tennessee,374,24.2,Derek Mason,Anthony Scelfo,Brian Stewart,128
Eastern Michigan,MAC,,-15,3.3,55.5,41,,0.2,-5.5,EMCH,Eastern Michigan,281,25.5,Chris Creighton,Mike Piatkowski,Tate Omli-Kasey Teegardin,128
UTEP,CUS,,-20.5,1.6,51,40.5,,1.1,-2,UTEP,UTEP,258,22.8,Scotty Walden,Lanear Sampson/Joe Pappalardo,Kyle Beyer,130
Buffalo,MAC,,-11.9,2.7,56,40.5,,1.1,-7.5,BUF,Buffalo,278,25.3,Pete Lembo,Tony Tokarz,Brian Dougherty,130
New Mexico State,CUS,,-16.4,2.8,51.5,39.5,,0,-2,NMST,New Mexico State,562,21.7,Tony Sanchez,Tyler Wright,Joe Morris,132
Sacramento State,MAC,,-22.7,2.5,,38,,,-7.5,SAC,Sacramento State,993,,Alonzo Carter,Eric Kiesau,Adam Clark,133
Charlotte,AAC,,-32.4,2.2,48.5,36.5,,-0.2,-1.5,CHAR,Charlotte,264,17.2,Tim Albin,Todd Fitch,Nate Faanes,134
Bowling Green,MAC,,-13.3,1.8,51.5,35.5,,-0.6,-6,BOWL,Bowling Green,288,18.7,Eddie George,Greg Nosal,Joe Bowden,135
Ball State,MAC,,-25.2,2.8,47.5,33.5,,-0.8,-4,BALL,Ball State,516,16.2,Mike Uremovich,Craig Harmon,Jeff Knowles,136
Sam Houston,CUS,,-26.3,2,45.5,33,,-0.8,-1.5,SAMH,Sam Houston,998,19.6,Phil Longo,Zack Patterson,Freddie Aughtry-Lindsay,137
UMass,MAC,,-30.9,1.5,34,27.5,,0.8,0,MAS,Umass,563,14.2,Joe Harasymiak,Max Warner,Jared Keyte,138
